iter	Logloss
0	0.6846916381
1	0.6770034124
2	0.670275586
3	0.6641756069
4	0.6591826048
5	0.6544157858
6	0.6505044102
7	0.6466993885
8	0.6433367662
9	0.6401540349
10	0.6371848066
11	0.6345560177
12	0.63216794
13	0.6304211792
14	0.6285336282
15	0.6268677073
16	0.6254219838
17	0.6241267767
18	0.6229759908
19	0.6219530489
20	0.6210049291
21	0.6200530006
22	0.6192517613
23	0.618443429
24	0.6178579563
25	0.617264638
26	0.6167758233
27	0.6162523947
28	0.6157718685
29	0.6152795383
30	0.6149281208
31	0.6145901875
32	0.6142433257
33	0.6139163076
34	0.6136465989
35	0.6134209227
36	0.6131949765
37	0.6130192594
38	0.6128572047
39	0.6127055261
40	0.6125356255
41	0.6123516675
42	0.6122505425
43	0.6121284218
44	0.6119819658
45	0.6119013053
46	0.6117840928
47	0.6116885447
48	0.6115558045
49	0.6114147801
50	0.6113020952
51	0.6112652574
52	0.6111901729
53	0.6110526391
54	0.610995005
55	0.6108874859
56	0.6108038191
57	0.6107533944
58	0.6107015306
59	0.6106009286
60	0.6105399082
61	0.6104204299
62	0.6103285659
63	0.6102672211
64	0.6102165997
65	0.610154899
66	0.6100945424
67	0.6100366576
68	0.6099806783
69	0.6098960894
70	0.6098676094
71	0.6098143473
72	0.6097200271
73	0.6096860779
74	0.60962139
75	0.6095918984
76	0.6095289275
77	0.6094801408
78	0.609422495
79	0.6093714636
80	0.6093419676
81	0.6092895629
82	0.6092399458
83	0.6091840778
84	0.6091276951
85	0.6090924585
86	0.6090436646
87	0.6089986608
88	0.6089627833
89	0.6088968743
90	0.6088386461
91	0.6088068759
92	0.6087605314
93	0.6087058478
94	0.608642705
95	0.6086172677
96	0.6085873134
97	0.6085420859
98	0.6084855022
99	0.6084489831
100	0.6083782091
101	0.6083379238
102	0.6083105647
103	0.6082457738
104	0.6082320853
105	0.6082006586
106	0.6081464257
107	0.6081185371
108	0.6080964317
109	0.6080636952
110	0.60800636
111	0.607981373
112	0.6079342908
113	0.60789783
114	0.6078844644
115	0.6078762662
116	0.6078404293
117	0.6078208985
118	0.6077825431
119	0.6077176691
120	0.6076968721
121	0.6076668119
122	0.6076533432
123	0.6076325415
124	0.6076071472
125	0.6075917081
126	0.6075600046
127	0.6075128194
128	0.6074906844
129	0.6074672729
130	0.6074251985
131	0.6074080639
132	0.6073721649
133	0.6073499311
134	0.6073374324
135	0.6072850168
136	0.6072593993
137	0.6072029007
138	0.6071716786
139	0.6071538894
140	0.6071307435
141	0.6071152454
142	0.6070765761
143	0.6070088064
144	0.6069880149
145	0.6069503061
146	0.6069285022
147	0.6068810683
148	0.6068548126
149	0.6068314106
150	0.6068064709
151	0.6067806799
152	0.6067516972
153	0.6067277712
154	0.6066873279
155	0.6066657254
156	0.6066414669
157	0.6066130443
158	0.6065933169
159	0.6065718269
160	0.6065490735
161	0.6065420414
162	0.6064903169
163	0.606473739
164	0.6064581341
165	0.6064304152
166	0.6064207232
167	0.6064063113
168	0.6063758543
169	0.6063420829
170	0.6062975824
171	0.6062828635
172	0.606234279
173	0.6062140761
174	0.6061989661
175	0.6061851893
176	0.606154432
177	0.6061324497
178	0.6060864723
179	0.6060438465
180	0.6060046011
181	0.6059882184
182	0.6059733314
183	0.605972224
184	0.6059565894
185	0.6059179203
186	0.6058970426
187	0.6058828963
188	0.6058712389
189	0.6058548826
190	0.605828997
191	0.6058161122
192	0.6057941982
193	0.6057726491
194	0.6057620768
195	0.6057368167
196	0.6057161311
197	0.6056917207
198	0.6056746246
199	0.6056492822
