iter	Passed	Remaining
0	10	2124
1	19	1950
2	29	1920
3	38	1907
4	47	1864
5	57	1843
6	65	1792
7	73	1775
8	82	1752
9	90	1727
10	99	1708
11	107	1687
12	116	1670
13	123	1636
14	131	1618
15	139	1604
16	148	1595
17	157	1588
18	165	1579
19	175	1578
20	184	1570
21	194	1576
22	203	1567
23	213	1563
24	223	1562
25	233	1559
26	242	1551
27	250	1541
28	260	1534
29	269	1528
30	279	1525
31	289	1520
32	299	1514
33	308	1505
34	317	1496
35	325	1484
36	335	1478
37	344	1468
38	353	1459
39	361	1446
40	371	1439
41	381	1435
42	390	1425
43	400	1419
44	410	1412
45	419	1405
46	429	1398
47	439	1391
48	449	1384
49	459	1377
50	468	1368
51	475	1352
52	484	1344
53	495	1339
54	505	1331
55	514	1323
56	523	1314
57	532	1302
58	541	1294
59	551	1285
60	560	1276
61	570	1269
62	580	1261
63	589	1253
64	599	1245
65	608	1235
66	618	1227
67	627	1218
68	636	1208
69	645	1199
70	654	1188
71	663	1178
72	672	1170
73	681	1160
74	690	1151
75	700	1142
76	710	1134
77	719	1125
78	728	1115
79	737	1106
80	747	1097
81	756	1088
82	765	1079
83	774	1069
84	783	1059
85	792	1050
86	801	1041
87	811	1032
88	819	1021
89	828	1012
90	837	1002
91	846	993
92	855	984
93	865	975
94	874	966
95	883	957
96	892	947
97	902	939
98	911	929
99	920	920
100	929	910
101	938	901
102	947	892
103	956	882
104	966	874
105	975	865
106	984	855
107	993	846
108	1002	836
109	1011	827
110	1020	818
111	1029	809
112	1038	799
113	1047	790
114	1055	779
115	1064	771
116	1074	762
117	1083	752
118	1093	744
119	1102	735
120	1112	726
121	1121	717
122	1131	708
123	1140	699
124	1148	689
125	1156	679
126	1165	669
127	1174	660
128	1184	652
129	1195	643
130	1204	634
131	1214	625
132	1223	616
133	1233	607
134	1242	598
135	1251	589
136	1261	580
137	1271	571
138	1281	562
139	1290	553
140	1299	543
141	1308	534
142	1317	524
143	1327	516
144	1336	506
145	1345	497
146	1355	488
147	1364	479
148	1373	470
149	1383	461
150	1393	452
151	1403	443
152	1412	433
153	1421	424
154	1430	415
155	1439	405
156	1448	396
157	1458	387
158	1467	378
159	1477	369
160	1487	360
161	1496	351
162	1506	341
163	1515	332
164	1525	323
165	1532	313
166	1542	304
167	1551	295
168	1559	286
169	1568	276
170	1577	267
171	1585	258
172	1594	248
173	1604	239
174	1613	230
175	1622	221
176	1631	211
177	1640	202
178	1650	193
179	1659	184
180	1668	175
181	1677	165
182	1686	156
183	1692	147
184	1701	137
185	1710	128
186	1720	119
187	1729	110
188	1738	101
189	1748	92
190	1757	82
191	1766	73
192	1775	64
193	1785	55
194	1793	45
195	1803	36
196	1812	27
197	1822	18
198	1832	9
199	1841	0
